Lat,Lng,County,CNTY_NBR,FIPS,Shape_Leng,Shape_Area,County Location
-97.49279927,29.45641495,Gonzales,90,48177,2.124910622,0.257804828,"(-97.492799, 29.456415)"
-98.6972921,27.04340499,Jim Hogg,125,48247,2.271751304,0.267624126,"(-98.697292, 27.043405)"
-97.68137783,26.92409448,Kenedy,66,48261,5.067864307,0.389397352,"(-97.681378, 26.924094)"
-96.96568735,30.31065065,Lee,144,48287,2.213853346,0.15399046,"(-96.965687, 30.310651)"
-95.85356847,32.21188078,Henderson,108,48213,3.152908752,0.235056213,"(-95.853568, 32.211881)"
-94.14495261,31.79242191,Shelby,210,48419,2.67878976,0.205815769,"(-94.144953, 31.792422)"
-99.45362579,31.77329421,Coleman,42,48083,2.675641055,0.316062015,"(-99.453626, 31.773294)"
-96.40356575,30.2145299,Washington,239,48477,2.547105613,0.150743535,"(-96.403566, 30.21453)"
-99.760574,28.42161168,Dimmit,64,48127,2.324663844,0.314454367,"(-99.760574, 28.421612)"
-99.73029401,33.17824805,Haskell,105,48207,1.91739054,0.227925166,"(-99.730294, 33.178248)"
-99.21236832,33.17753907,Throckmorton,224,48447,1.92184449,0.229200301,"(-99.212368, 33.177539)"
-99.7453851,34.28865227,Hardeman,100,48197,1.904729035,0.17664409,"(-99.745385, 34.288652)"
-102.3517095,34.06861242,Lamb,140,48279,2.03117493,0.257464651,"(-102.351709, 34.068612)"
-98.55841538,31.9490639,Comanche,47,48093,2.095434312,0.235313921,"(-98.558415, 31.949064)"
-102.335157,33.17373729,Terry,223,48445,1.896687331,0.222977795,"(-102.335157, 33.173737)"
-93.85170439,31.34321941,Sabine,202,48403,2.033399379,0.141502516,"(-93.851704, 31.343219)"
-102.6021647,36.27777107,Dallam,56,48111,2.647748843,0.391034911,"(-102.602165, 36.277771)"
-103.693143,31.32307061,Reeves,195,48389,4.574018208,0.648796011,"(-103.693143, 31.323071)"
-102.6378839,32.30506283,Andrews,2,48003,2.579602167,0.372269477,"(-102.637884, 32.305063)"
-94.76169577,32.10803224,Rusk,201,48401,2.447868376,0.23243584,"(-94.761696, 32.108032)"
-101.3547257,35.84000866,Hutchinson,118,48233,1.93562571,0.231227108,"(-101.354726, 35.840009)"
-96.93020993,29.38437003,Lavaca,143,48285,1.928384427,0.233736863,"(-96.93021, 29.38437)"
-103.2518906,29.81205836,Brewster,22,48043,6.004896343,1.497093043,"(-103.251891, 29.812058)"
-96.79467417,32.34839264,Ellis,71,48139,2.245024488,0.236142131,"(-96.794674, 32.348393)"
-97.42646082,28.65708563,Goliad,89,48175,2.171168793,0.205451115,"(-97.426461, 28.657086)"
-99.82061472,30.88981785,Menard,164,48327,2.017755354,0.220448427,"(-99.820615, 30.889818)"
-100.3048937,29.98248216,Edwards,70,48137,3.37029966,0.513424083,"(-100.304894, 29.982482)"
-94.37651432,30.7712607,Tyler,229,48457,2.673865732,0.228323625,"(-94.376514, 30.771261)"
-94.96509786,33.2160906,Titus,225,48449,2.00308064,0.106914371,"(-94.965098, 33.216091)"
-96.28779341,32.59927808,Kaufman,130,48257,2.002230724,0.200935223,"(-96.287793, 32.599278)"
-96.51272568,31.02705415,Robertson,198,48395,2.503122646,0.211742258,"(-96.512726, 31.027054)"
-98.56842256,28.35351091,McMullen,162,48311,2.118908742,0.277594527,"(-98.568423, 28.353511)"
-102.6351246,32.74074537,Gaines,84,48165,2.590419039,0.374514715,"(-102.635125, 32.740745)"
-100.2558584,33.61641863,King,135,48269,1.928296567,0.229952945,"(-100.255858, 33.616419)"
-95.45578479,29.19345387,Brazoria,20,48039,8.449998572,0.342869742,"(-95.455785, 29.193454)"
-99.37359692,32.2977738,Callahan,30,48059,1.897523701,0.223364373,"(-99.373597, 32.297774)"
-95.57224172,30.73899492,Walker,236,48471,2.152040802,0.195448316,"(-95.572242, 30.738995)"
-96.57883268,28.95603133,Jackson,121,48239,2.989531452,0.203834941,"(-96.578833, 28.956031)"
-103.5799063,31.84912973,Loving,151,48301,2.144683446,0.166916127,"(-103.579906, 31.84913)"
-101.5230108,31.36617698,Reagan,192,48383,2.153535174,0.288722753,"(-101.523011, 31.366177)"
-96.67764864,33.62684371,Grayson,92,48181,2.365599697,0.246442393,"(-96.677649, 33.626844)"
-95.67221685,33.38623601,Delta,60,48119,2.321141746,0.06975473,"(-95.672217, 33.386236)"
-97.47790776,31.03778267,Bell,14,48027,2.178761589,0.265926568,"(-97.477908, 31.037783)"
-98.18252382,30.78843382,Burnet,27,48053,2.494223061,0.249033659,"(-98.182524, 30.788434)"
-94.34348771,33.07750446,Cass,34,48067,2.729630317,0.240082449,"(-94.343488, 33.077504)"
-97.61767326,27.72621549,Nueces,178,48355,9.814653083,0.203472348,"(-97.617673, 27.726215)"
-97.64303323,26.47132899,Willacy,245,48489,3.324169395,0.155451086,"(-97.643033, 26.471329)"
-98.70153389,33.98421585,Wichita,243,48485,1.833176967,0.156295134,"(-98.701534, 33.984216)"
-101.3033037,34.07239775,Floyd,78,48153,2.006894199,0.251107266,"(-101.303304, 34.072398)"
-97.72889778,27.43274395,Kleberg,137,48273,4.444938992,0.213851073,"(-97.728898, 27.432744)"
-100.27317,36.27778432,Lipscomb,148,48295,1.979805548,0.242396091,"(-100.27317, 36.277784)"
-97.1324142,31.99079033,Hill,110,48217,2.57039298,0.24370225,"(-97.132414, 31.99079)"
-102.0315032,31.86921148,Midland,165,48329,1.893898494,0.222664882,"(-102.031503, 31.869211)"
-97.20184883,31.55234489,McLennan,161,48309,2.088494087,0.260991644,"(-97.201849, 31.552345)"
-99.21351964,33.61648147,Baylor,12,48023,1.912457508,0.226681232,"(-99.21352, 33.616481)"
-100.255259,33.17842158,Stonewall,217,48433,1.943594992,0.232000971,"(-100.255259, 33.178422)"
-99.34754972,31.19896752,McCulloch,160,48307,2.440158495,0.263267604,"(-99.34755, 31.198968)"
-101.4355097,32.30610232,Howard,115,48227,1.900374847,0.224253983,"(-101.43551, 32.306102)"
-100.9165071,32.74720063,Scurry,208,48415,1.905585978,0.226711706,"(-100.916507, 32.747201)"
-96.14918535,31.70486443,Freestone,82,48161,2.497757674,0.219827235,"(-96.149185, 31.704864)"
-98.0898649,27.73131099,Jim Wells,126,48249,2.427014479,0.205830636,"(-98.089865, 27.731311)"
-101.2998612,33.61459873,Crosby,54,48107,1.913220344,0.22690701,"(-101.299861, 33.614599)"
-96.22197375,29.2778362,Wharton,241,48481,2.467353303,0.263143063,"(-96.221974, 29.277836)"
-100.538097,30.89661056,Schleicher,207,48413,2.450866584,0.321456176,"(-100.538097, 30.896611)"
-101.3572412,34.96522076,Armstrong,6,48011,1.945689566,0.233109934,"(-101.357241, 34.965221)"
-97.78194654,30.33423319,Travis,227,48453,2.458272479,0.248996407,"(-97.781947, 30.334233)"
-102.5430907,31.86908156,Ector,69,48135,1.894771979,0.222982245,"(-102.543091, 31.869082)"
-99.24637282,29.74724753,Bandera,10,48019,2.120842963,0.192677466,"(-99.246373, 29.747248)"
-101.0500699,31.82786516,Sterling,216,48431,1.946807264,0.227750271,"(-101.05007, 31.827865)"
-97.16546961,28.32681413,Refugio,196,48391,3.326709403,0.185681696,"(-97.16547, 28.326814)"
-101.3542037,35.40346802,Carson,33,48065,1.957610985,0.237516554,"(-101.354204, 35.403468)"
-99.10826004,28.86726774,Frio,83,48163,2.113710641,0.271133775,"(-99.10826, 28.867268)"
-94.8120925,30.15153187,Liberty,146,48291,2.401832368,0.284788514,"(-94.812092, 30.151532)"
-96.3022943,30.6610425,Brazos,21,48041,2.811591006,0.143906946,"(-96.302294, 30.661043)"
-99.74892716,30.48676251,Kimble,134,48267,2.472410508,0.304157368,"(-99.748927, 30.486763)"
-97.7991883,31.39087578,Coryell,50,48099,2.05310828,0.259511549,"(-97.799188, 31.390876)"
-96.77781862,32.76653746,Dallas,57,48113,1.90778162,0.226420617,"(-96.777819, 32.766537)"
-98.59552736,31.49524259,Mills,167,48333,2.438547822,0.184389335,"(-98.595527, 31.495243)"
-96.64708119,28.48966896,Calhoun,29,48057,9.289508624,0.129738262,"(-96.647081, 28.489669)"
-97.72466993,33.67496328,Montague,169,48337,2.090266045,0.235632601,"(-97.72467, 33.674963)"
-98.73834895,26.56212627,Starr,214,48427,2.600375286,0.288492302,"(-98.738349, 26.562126)"
-96.97176602,28.79640594,Victoria,235,48469,2.775292675,0.212539676,"(-96.971766, 28.796406)"
-100.812475,35.40130666,Gray,91,48179,1.968332271,0.238979313,"(-100.812475, 35.401307)"
-98.51966309,29.44884523,Bexar,15,48029,2.729791097,0.302845599,"(-98.519663, 29.448845)"
-101.8929556,35.83768863,Moore,171,48341,1.949867354,0.234984076,"(-101.892956, 35.837689)"
-99.86413426,31.32645211,Concho,48,48095,2.16469319,0.243756513,"(-99.864134, 31.326452)"
