Gender,Sexual_Assault,Assault,Robbery,Drugs,Murder,Burglary,Alcohol_Incident,Evading_Arrest,Weapon_Related,Theft
Female,112,705,509,645,582,91,210,64,31,149
Male,10410,8048,11648,5826,8614,3111,1857,1456,1346,865
